uri,cid,author_did,author_handle,author_display_name,author_followers,author_following,author_posts,text,created_at,reply_count,repost_count,like_count,quote_count,hashtags,mentions,urls,has_image,has_video,has_external,image_count,is_reply,language,source,reply_count_actual,thread_depth
at://did:plc:5nu6oulxrvx4rewjbiguci4d/app.bsky.feed.post/3m32iz3qzj22p,bafyreiccx3yk6qm2nnwaxzgkitxcmqkrrlfsro3q64nknfhjafdvs6pksu,did:plc:5nu6oulxrvx4rewjbiguci4d,ceraunavolta07.bsky.social,C'era una volta,0,0,0,"""Wychodzę sobie w koszuli
I na bosaka na ganek
I, pasek ściągając na spodniach,
Patrzę, jak wstaje poranek.
Jak się z słonecznej kąpieli
Wychyla po cichu, powoli,
Jak bryzga mi w oko iskrami,
Że aż mnie oko boli.""
~Jan Kasprowicz, Poranek

Dzień dobry🙂☕🍁☀️
Przyjemnego poniedziałku🍀🦋🍀🎶",2025-10-13T05:43:10.430Z,3,1,21,0,[],[],[],True,False,False,1,False,pl,popular_feed,,
at://did:plc:3gqkri4pwzoa7v2sztumugka/app.bsky.feed.post/3m2zzt37pqs2x,bafyreiha3utrl27rtzjzv5cuddizwaxrbyei7fvpwzk5w6qixq62o7aii4,did:plc:3gqkri4pwzoa7v2sztumugka,crytzerfry.bsky.social,Melissa Crytzer Fry,0,0,0,"This was rather fantastic today! Our wash was a'flowin' and our driveway a'disappearin'.  😆 #ArizonaWeather 1.18"" and more to come, I think!",2025-10-13T01:11:22.424Z,9,3,68,0,"[""ArizonaWeather""]",[],[],False,True,False,0,False,en,popular_feed,9.0,4.0
at://did:plc:5u2fa6bwscjou3rw3itsh62j/app.bsky.feed.post/3m32o5ezd422v,bafyreifwjcbhlijz7d44dshfwiltiwtzqeoagyjyno3rmxgeaqrsfwxnpu,did:plc:5u2fa6bwscjou3rw3itsh62j,foreverlouiseb1.bsky.social,Forever Louise Brooks,0,0,0,"Dancer Jeanne de Lande by Wilhelm Willinger, Vienna mid-1920’s.",2025-10-13T07:15:03.068Z,1,0,27,0,[],[],[],True,False,False,1,False,en,popular_feed,,
at://did:plc:3bztmbvb5umlrs5nxvry4eea/app.bsky.feed.post/3m2zmhtkpf222,bafyreibformz6snizo7xym557mmuevrpqnznh2fj4vheuuy25abwqxq5ba,did:plc:3bztmbvb5umlrs5nxvry4eea,archer1987.bsky.social,Archer,0,0,0,"This was certainly an undertaking but I could be happier! First time drawing these two and, boy, I sure chose one of the most detailed outfits to use as references. It certainly puts the work of the artists who came up with their designs into perspective 😮‍💨

#art #fireemblem #fireemblemheroes #fanart",2025-10-12T21:12:26.636Z,4,24,65,0,"[""art"", ""fireemblem"", ""fireemblemheroes"", ""fanart""]",[],[],True,False,False,1,False,en,popular_feed,,
at://did:plc:3hc2koi3insgd6izhggv7frw/app.bsky.feed.post/3m2zopg6dbk2l,bafyreidfsvvjzx6ds3djgehkzzzm4yjxrgujropcvxerfexgp6al2jmalm,did:plc:3hc2koi3insgd6izhggv7frw,thedeerwhisperer.bsky.social,🦌 The Deer Whisperer 🦌,0,0,0,"After a cool, overcast morning, it's turning out to be a pretty day here in Western Washington!",2025-10-12T21:52:28.514Z,3,3,77,0,[],[],[],True,False,False,1,False,en,popular_feed,3.0,4.0
at://did:plc:377szmobv24dravpuuu5ihem/app.bsky.feed.post/3m2zxxuatg22s,bafyreihi6kr25rx44go45w6ozls72v2a5dwaie3wo5mdmsef2ur6nhthbu,did:plc:377szmobv24dravpuuu5ihem,nickbaumgardner.bsky.social,Nick Baumgardner,0,0,0,Lions took 10 minutes off the clock for a field goal ... Jim Harbaugh tribute drive,2025-10-13T00:38:15.409Z,5,6,119,0,[],[],[],False,False,False,0,False,en,popular_feed,5.0,1.0
at://did:plc:3fsxpb2lh5iq5xeaallmrlkd/app.bsky.feed.post/3m2zq5b5c3c2p,bafyreib2vhvd3jwv4ffxxq42onbqrf4dvz73rsosqb5szxepg6vknyrkaa,did:plc:3fsxpb2lh5iq5xeaallmrlkd,radareyda.bsky.social,Radareyda,0,0,0,"Pumpkin Quilt, 
Watercolor, ink, quick sketch.
#abstract #quicksketch #watercolor #squiggles #ink #quiltpattern #funfastart #ArtShow #EastCoastKin #illustration #illustrator #autumn #Halloween #traditionalart",2025-10-12T22:18:06.758Z,0,0,21,0,"[""abstract"", ""quicksketch"", ""watercolor"", ""squiggles"", ""ink"", ""quiltpattern"", ""funfastart"", ""ArtShow"", ""EastCoastKin"", ""illustration"", ""illustrator"", ""autumn"", ""Halloween"", ""traditionalart""]",[],[],True,False,False,1,False,en,popular_feed,,
at://did:plc:3bnyvfoyzyycsy5scndvseks/app.bsky.feed.post/3m2zicijprq22,bafyreif5torrnknkylogl5kgmasj5zjpxvlfwfrtqddqbffrdezajjc6ja,did:plc:3bnyvfoyzyycsy5scndvseks,bluejaysbot.bsky.social,Toronto Blue Jays (Bot),0,0,0,"Trey Ball 😤

Yesavage will start Game Two! #WANTITALL",2025-10-12T19:50:33.000Z,0,4,19,0,"[""WANTITALL""]",[],[],True,False,False,1,False,,popular_feed,,
at://did:plc:3cj3rk6tdj6shmq3vlyvgd7s/app.bsky.feed.post/3m2zwt5y2f22z,bafyreihoyl4tpctdqjapcmbedhtqjzlm6dcl26ciycn6dgw6qmfyrgqwx4,did:plc:3cj3rk6tdj6shmq3vlyvgd7s,sanjaromin.bsky.social,Jason M (same name on X) (here since the beta!),0,0,0,"Springer, known #Mariners hater",2025-10-13T00:17:44.092Z,0,0,5,0,"[""Mariners""]",[],[],False,False,False,0,False,en,popular_feed,,
at://did:plc:63nmxg6b6tjgxc7lbjui3tzy/app.bsky.feed.post/3m333ocg5w22b,bafyreigm2wx4hthdtswtc3yjysyb2h7rncjkva7ixq4itsivdiat6vvrgu,did:plc:63nmxg6b6tjgxc7lbjui3tzy,alala55.bsky.social,Kepano Kolohe,0,0,0,,2025-10-13T11:17:09.421Z,0,7,35,0,[],[],[],True,False,False,1,False,en,popular_feed,,
